"Representative","State","Amount"
"Pfluger August (R-TX)","Texas","$579021"
"McCarthy Kevin (R-CA)","California","$329051"
"Johnson Mike (R-LA)","Louisiana","$328022"
"Scalise Steve (R-LA)","Louisiana","$327283"
"Rodgers Cathy McMorris (R-WA)","Washington","$288971"
"Gonzales Tony (R-TX)","Texas","$244589"
"Westerman Bruce (R-AR)","Arkansas","$244461"
"Zinke Ryan (R-MT)","Montana","$191844"
"Crenshaw Dan (R-TX)","Texas","$170935"
"Smith Jason (R-MO)","Missouri","$163841"
"Cuellar Henry (D-TX)","Texas","$161913"
"Graves Garret (R-LA)","Louisiana","$151300"
"Fletcher Lizzie (D-TX)","Texas","$148275"
"Hunt Wesley (R-TX)","Texas","$147400"
"Goldman Craig (R-TX)","Texas","$142051"
"De La Cruz Monica (R-TX)","Texas","$131141"
"Arrington Jodey (R-TX)","Texas","$128296"
"Graves Sam (R-MO)","Missouri","$115600"
"Emmer Tom (R-MN)","Minnesota","$108495"
"Williams Roger (R-TX)","Texas","$106500"
"Cole Tom (R-OK)","Oklahoma","$104520"
"Hern Kevin (R-OK)","Oklahoma","$102398"
"Van Duyne Beth (R-TX)","Texas","$101333"
"Gonzalez Vicente (D-TX)","Texas","$99700"
"Armstrong Kelly (R-ND)","North Dakota","$96410"
"Weber Randy (R-TX)","Texas","$95800"
"Stefanik Elise (R-NY)","New York","$95139"
"Roy Chip (R-TX)","Texas","$94461"
"Bice Stephanie (R-OK)","Oklahoma","$86004"
"Balderson Troy (R-OH)","Ohio","$85650"
"Jackson Ronny (R-TX)","Texas","$83622"
"Joyce John (R-PA)","Pennsylvania","$82500"
"Latta Bob (R-OH)","Ohio","$80850"
"Herrell Yvette (R-NM)","New Mexico","$77231"
"Hudson Richard (R-NC)","North Carolina","$77000"
"Valadao David (R-CA)","California","$76017"
"Stauber Pete (R-MN)","Minnesota","$74750"
"Duncan Jeff (R-SC)","South Carolina","$73000"
"Johnson Bill (R-OH)","Ohio","$72700"
"Luttrell Morgan (R-TX)","Texas","$72299"
"Fong Vince (R-CA)","California","$71550"
"Nehls Troy (R-TX)","Texas","$71234"
"McCaul Michael (R-TX)","Texas","$66122"
"Ciscomani Juan (R-AZ)","Arizona","$65806"
"Estes Ron (R-KS)","Kansas","$65800"
"Ellzey Jake (R-TX)","Texas","$65191"
"Johnson Dusty (R-SD)","South Dakota","$64800"
"Lawler Mike (R-NY)","New York","$63940"
"Steel Michelle (R-CA)","California","$63016"
"Kiggans Jen (R-VA)","Virginia","$62744"
"Lucas Frank D (R-OK)","Oklahoma","$62070"
"Peltola Mary (D-AK)","Alaska","$60701"
"Veasey Marc (D-TX)","Texas","$59900"
"Feenstra Randy (R-IA)","Iowa","$59740"
"Kean Thomas H Jr (R-NJ)","New Jersey","$59613"
"Miller-Meeks Mariannette (R-IA)","Iowa","$59387"
"Chavez-Deremer Lori (R-OR)","Oregon","$59285"
"Reschenthaler Guy (R-PA)","Pennsylvania","$58860"
"Boebert Lauren (R-CO)","Colorado","$57351"
"Nunn Zach (R-IA)","Iowa","$57065"
"Larsen Rick (D-WA)","Washington","$57000"
"Williams Brandon (R-NY)","New York","$56845"
"Hinson Ashley (R-IA)","Iowa","$56340"
"Costa Jim (D-CA)","California","$54500"
"James John (R-MI)","Michigan","$54387"
"LaHood Darin (R-IL)","Illinois","$54250"
"Tenney Claudia (R-NY)","New York","$54199"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$53438"
"Thompson Glenn (R-PA)","Pennsylvania","$53100"
"Garcia Sylvia (D-TX)","Texas","$53000"
"Carey Mike (R-OH)","Ohio","$51500"
"Molinaro Marc (R-NY)","New York","$51166"
"Garcia Mike (R-CA)","California","$50812"
"Calvert Ken (R-CA)","California","$49740"
"Moore Riley (R-WV)","West Virginia","$47592"
"Bacon Donald John (R-NE)","Nebraska","$46694"
"Flores Mayra (R-TX)","Texas","$46168"
"Van Orden Derrick (R-WI)","Wisconsin","$46015"
"Miller Carol (R-WV)","West Virginia","$45200"
